map,county_splitting,district_splitting,counties_split,county_splits,splitting
000155000,1.360400,2.428500,52,69,0
000157500,1.334000,2.370700,49,67,4
000160000,1.334400,2.200500,42,57,4
000162500,1.353400,2.266900,43,65,2
000165000,1.341600,2.317300,48,62,4
000167500,1.341500,2.300400,47,62,4
000170000,1.377800,2.315200,44,61,0
000172500,1.376900,2.407300,48,66,0
000175000,1.341400,2.276800,47,59,4
000177500,1.345600,2.331100,46,60,3
000180000,1.354700,2.318900,46,59,2
000182500,1.350000,2.245000,43,57,2
000185000,1.370800,2.416900,52,70,0
000187500,1.368500,2.375700,47,63,0
000190000,1.334300,2.290800,46,62,4
000192500,1.387400,2.448400,50,68,0
000195000,1.353800,2.269000,42,59,2
000197500,1.369700,2.373000,50,66,0
000200000,1.358800,2.488400,56,70,1
000202500,1.346500,2.236500,44,55,2
000205000,1.359000,2.217500,43,58,1
000207500,1.370800,2.387400,50,64,0
000210000,1.349300,2.224800,42,56,2
000212500,1.348900,2.219400,41,52,2
000215000,1.354600,2.417300,51,68,2
000217500,1.344800,2.309400,47,58,3
000220000,1.339500,2.263300,43,57,4
000222500,1.377500,2.359400,46,63,0
000225000,1.346500,2.411900,51,66,2
000227500,1.379000,2.336200,46,65,0
000230000,1.314300,2.232000,44,55,8
000232500,1.347300,2.335900,48,61,2
000235000,1.359800,2.291500,45,63,0
000237500,1.350600,2.185200,41,57,2
000240000,1.380400,2.313100,44,65,0
000242500,1.363000,2.351600,47,65,0
000245000,1.311800,2.261000,48,60,8
000247500,1.380400,2.364100,49,65,0
000250000,1.361900,2.284600,48,63,0
000252500,1.348900,2.310300,48,65,2
000255000,1.323900,2.287600,47,62,6
000257500,1.381600,2.379800,48,70,0
000260000,1.365900,2.330200,47,62,0
000262500,1.361000,2.340100,45,63,0
000265000,1.326700,2.297600,46,62,6
000267500,1.401500,2.351100,44,59,0
000270000,1.344700,2.358000,47,59,3
000272500,1.339500,2.239300,42,60,4
000275000,1.343800,2.328900,47,62,3
000277500,1.339100,2.379300,51,63,4
000280000,1.376400,2.450300,54,71,0
000282500,1.329500,2.357400,50,62,5
000285000,1.348700,2.307700,45,65,2
000287500,1.341800,2.441200,54,68,4
000290000,1.343600,2.293600,48,64,3
000292500,1.330000,2.285600,45,57,5
000295000,1.358000,2.334600,46,61,1
000297500,1.348400,2.326600,48,65,2
000300000,1.360400,2.338300,47,62,0
000302500,1.353000,2.304800,45,61,2
000305000,1.352100,2.394400,50,67,2
000307500,1.370600,2.432800,51,71,0
000310000,1.357900,2.338700,46,65,1
000312500,1.350800,2.419400,53,66,2
000315000,1.376500,2.405400,49,61,0
000317500,1.356800,2.365900,48,64,1
000320000,1.331900,2.298900,45,59,5
000322500,1.336100,2.282900,45,60,4
000325000,1.351100,2.424200,53,65,2
000327500,1.325400,2.277900,46,56,6
000330000,1.352200,2.357100,49,63,2
000332500,1.376000,2.404300,48,69,0
000335000,1.397600,2.516500,54,72,0
000337500,1.330700,2.320800,49,64,5
000340000,1.356700,2.342700,48,61,1
000342500,1.361100,2.340200,48,67,0
000345000,1.332400,2.218700,41,58,5
000347500,1.345500,2.328900,49,61,3
000350000,1.320400,2.133800,42,58,6
